ID_Hospital,Nombre,Capacidad_Camas,Camas_UCI,Distrito,Latitud,Longitud
H001,Hospital_1,118,18,Miraflores,-12.00458301,-77.04136377
H002,Hospital_2,483,24,La Molina,-11.99032149,-77.15005197
H003,Hospital_3,452,37,Ate,-11.93322583,-76.98982195
H004,Hospital_4,292,33,Independencia,-12.09314237,-77.15620361
H005,Hospital_5,336,69,Villa El Salvador,-11.835734,-77.1188587
H006,Hospital_6,486,44,Pueblo Libre,-12.02573117,-76.8006725
H007,Hospital_7,525,36,Pueblo Libre,-12.14836552,-76.98345494
H008,Hospital_8,376,29,Independencia,-11.9030805,-77.08637664
H009,Hospital_9,326,74,Los Olivos,-11.94275826,-76.80209002
H010,Hospital_10,332,58,Lurigancho-Chosica,-12.07370264,-76.81337643
H011,Hospital_11,139,10,Villa El Salvador,-11.95139251,-77.02370438
H012,Hospital_12,422,19,Ate,-12.11205522,-77.09583876
H013,Hospital_13,252,56,Lurigancho-Chosica,-12.02206426,-76.86464014
H014,Hospital_14,226,68,Miraflores,-11.84023499,-76.91375171
H015,Hospital_15,336,71,Lurigancho-Chosica,-12.14658631,-76.92522343
H016,Hospital_16,585,27,Comas,-12.04532142,-76.8427545
H017,Hospital_17,592,55,Callao,-11.87154303,-76.92423315
H018,Hospital_18,154,41,Independencia,-11.81220364,-77.08648082
H019,Hospital_19,567,36,Jesús María,-12.01842955,-76.92245474
H020,Hospital_20,535,27,Callao,-11.99720015,-77.0776746
H021,Hospital_21,271,48,Jesús María,-11.97113122,-76.89630441
H022,Hospital_22,208,58,Rímac,-11.82706074,-76.95210086
H023,Hospital_23,453,53,San Isidro,-11.85671728,-77.16903538
H024,Hospital_24,568,63,Rímac,-12.13175955,-76.99486586
H025,Hospital_25,283,43,Miraflores,-12.02529687,-77.06267961
H026,Hospital_26,538,45,Miraflores,-12.01439983,-77.06857175
H027,Hospital_27,467,27,La Molina,-11.88436156,-76.95909748
H028,Hospital_28,570,47,San Borja,-11.95884285,-77.07107007
H029,Hospital_29,297,68,Jesús María,-11.93831182,-76.8892425
H030,Hospital_30,470,18,San Miguel,-11.80072004,-77.17168343
H031,Hospital_31,472,60,San Miguel,-12.17001598,-76.9358447
H032,Hospital_32,560,44,Independencia,-12.11079607,-76.87632208
H033,Hospital_33,596,14,Comas,-12.03684163,-76.93086732
H034,Hospital_34,186,23,Independencia,-12.06088704,-77.00110832
H035,Hospital_35,300,39,La Molina,-12.19134178,-76.81987719
H036,Hospital_36,436,13,Independencia,-12.16328896,-77.0800246
H037,Hospital_37,421,48,Chorrillos,-11.92761868,-77.19233284
H038,Hospital_38,374,73,San Juan de Lurigancho,-11.84827021,-77.02720425
H039,Hospital_39,310,34,Ate,-11.9943092,-77.18679523
H040,Hospital_40,490,37,San Juan de Miraflores,-11.98432357,-76.8184253
H041,Hospital_41,217,75,Independencia,-12.09796263,-77.11603278
H042,Hospital_42,290,31,Miraflores,-11.89284945,-76.88442919
H043,Hospital_43,141,40,Miraflores,-11.89928217,-76.89017117
H044,Hospital_44,141,32,San Borja,-11.96465372,-77.11290844
H045,Hospital_45,414,57,Rímac,-12.11493429,-76.95150939
H046,Hospital_46,375,29,San Miguel,-12.16119271,-77.18076841
H047,Hospital_47,428,47,Chorrillos,-12.17430457,-77.00657017
H048,Hospital_48,116,64,Chorrillos,-11.96292157,-77.19414115
H049,Hospital_49,382,77,Jesús María,-11.86998587,-76.83154245
H050,Hospital_50,530,10,Callao,-11.85666783,-76.80956559
H051,Hospital_51,357,16,Miraflores,-12.01455117,-77.11108689
H052,Hospital_52,162,66,Ate,-11.88629148,-77.11675759
H053,Hospital_53,161,21,Rímac,-11.82124792,-76.89851193
H054,Hospital_54,199,14,Independencia,-12.08993196,-77.09864824
H055,Hospital_55,118,59,San Miguel,-12.04081586,-76.84196938
H056,Hospital_56,116,51,Independencia,-11.8274084,-76.97042835
H057,Hospital_57,424,21,Callao,-12.06470761,-77.05968895
H058,Hospital_58,522,27,Los Olivos,-11.83444948,-76.8669225
H059,Hospital_59,565,75,Comas,-11.80758206,-77.00263732
H060,Hospital_60,472,26,Jesús María,-11.93527571,-76.83534683
H061,Hospital_61,345,77,Callao,-11.87324388,-76.82879431
H062,Hospital_62,350,71,Breña,-11.90018177,-77.13383194
H063,Hospital_63,554,50,San Juan de Miraflores,-11.9201863,-77.19907064
H064,Hospital_64,180,43,La Molina,-12.07722757,-76.80642762
H065,Hospital_65,138,79,San Miguel,-12.17716226,-76.83754499
H066,Hospital_66,135,54,San Miguel,-12.06277931,-77.17782191
H067,Hospital_67,523,67,Lurigancho-Chosica,-11.93322561,-76.86678629
H068,Hospital_68,528,60,Independencia,-12.15898832,-77.01687803
H069,Hospital_69,487,43,Rímac,-12.19523281,-77.09641536
H070,Hospital_70,585,53,Los Olivos,-12.14412305,-76.84850139
H071,Hospital_71,508,24,Pueblo Libre,-11.91370563,-77.12133311
H072,Hospital_72,296,79,Los Olivos,-11.81088252,-76.82108
H073,Hospital_73,257,59,Los Olivos,-11.80677412,-77.1177514
H074,Hospital_74,303,41,Callao,-12.00240834,-76.95452672
H075,Hospital_75,295,76,Jesús María,-11.85225908,-77.11076547
H076,Hospital_76,315,12,San Isidro,-11.90526942,-76.98173253
H077,Hospital_77,384,60,Lurigancho-Chosica,-11.99958391,-76.92640995
H078,Hospital_78,556,76,Ate,-11.97089579,-77.12390883
H079,Hospital_79,295,57,San Borja,-12.14510914,-76.99164569
H080,Hospital_80,406,26,Lurigancho-Chosica,-11.82493542,-77.0123761
H081,Hospital_81,251,16,Jesús María,-12.05922809,-77.17158503
H082,Hospital_82,113,22,San Juan de Lurigancho,-12.0215403,-76.87267687
H083,Hospital_83,424,75,Breña,-11.93133591,-77.06572704
H084,Hospital_84,245,13,San Isidro,-12.06643901,-76.97016712
H085,Hospital_85,525,19,San Borja,-12.09829634,-76.99408631
H086,Hospital_86,156,26,San Miguel,-11.94758024,-76.9946958
H087,Hospital_87,310,61,Breña,-12.19000637,-77.15711104
